排名,钱包地址,参与提案数,总投票权重
1,0x25c37206e5E2C4EBcB83cd9Be7D944E7cA7267B0,1,2592500
2,0xD2e372C0Ef6c50406018a12cB980A7a0202ad92F,1,2267083
3,0x6ee34d5a9D48271b680D5d1A5bb04d074C333B51,1,1909925
4,0xD442FC7bF60c750eFc764aB56571CE05CBbDc818,1,1887997
5,0x1E75A911cBdb78B4C1B98d476b928B3a02c18525,1,1801744
6,0x7A52159cDEBB9c9998B4F8018E15CD04364E7CD7,1,1673821
7,0x28BfC64d3e64Fa1a624EB0053F0c8f0438504a62,1,1598375
8,0x85bBa4EB8602251b6b3c172ED4cF4E05a179a6e3,1,1532956
9,0xE50C821F4583389d9b0AeC76703DF70F9C709ED9,1,1513302
10,0x1bf0Df7De3fbe9587e54DCf5C6F6Df4205cB3a9E,1,1413914
11,0x1D1803C0222060A77A6db1eC7073109CD895F00a,1,1293696
12,0x14CA07B298b7C3FA1Afc044093D93C9BFd2d49BE,1,1224867
13,0x2B3ABdfC5D2dd8cD507D513eAA3279643BfCAb3d,1,1211234
14,0x3cEab7706Bfb96bea0Da34D9CeC5934549a79Bf4,1,1073186
15,0xFd7f7Db689aA4594DBDb06393feB62CbDA8E8789,1,1042221
16,0x0BB157D9948F36e2Fbd1a27E76b1359b6D84294F,1,907567
17,0xE1cAF1CD20C63b081640E8D8Ac83B0120fd36582,1,881427
18,0x0deCa07648d89ac9d207CB7cAFDfef33d587edB4,1,571347
19,0xEe160737Bf4cE8E59E4D8F4aE5Da90CCB24E9fF9,9,532413
20,0x0b51a18b0b111Dc3b2562ef6782b08be7Eb19eB3,1,348389
21,0x55454790Ce04Cc7396252C40f572CFAfB33Ee88e,1,348074
22,0xDbe9Ec17f628890AD4f867946da0dd11D82544B3,1,281725
23,0xCfa19d629629D48e87B4Df3921908982C9b84900,1,219319
24,0xABC817d73E5Dda61970e885Cf7a77765Dc7B6C46,1,198522
25,0x6489e7cAFcD923964eD107DfBCA5BB75Ea8F595d,12,132246
26,0xDDb75eAE5456A9e6Eb396731fe2910bEA5029DAc,1,115232
27,0x874d391fc389d3BFa45F88297B3CC9404780B324,5,96475
28,0x71670092C77EB2651E11d9cD901E17A08Ce0C785,10,67690
29,0x74a609ba15B6e9A21019456782Bf94C678e673e3,3,42861
30,0xC8B1eEFf54649038bEfe199C25d30a2823364D23,1,19293
31,0xdAC9241B019a343e65Ff9Aff3F43c63b19fF317D,11,17418
32,0xdB667Ae266784f46994dF294D0110958681ea8A8,15,15000
33,0x26DfFc4E6105baEEA4fBC76017EB1b981C5E7cA1,1,11312
34,0x3fa4888124DCb11260Bdde079021Cf7B535354fb,28,8534
35,0xe387b56e5AE79Bf5B217fb7186e95DAEd34ca38D,26,5902
36,0x0765518cf23F15A3b72C7e6480ff8F42Fa32BDdd,1,2197
37,0x829Cdb192adc18D8AEb5b079309947075D156f60,5,1560
38,0xc94f0c46b6C964cAb00b4E9D36f51dccC6ca2309,6,1380
39,0xAce72fA6528Ef8ccd28E0c5f9e0c84276F7a32BF,6,1152
40,0x81c7d31e7A791818053151Fcf0e442d73ccBB177,5,1000
41,0xE1a24c09E5a5FeD05b23fdddA43bcB000803C1Bf,6,720
42,0x8c73041617EEbf7A033909CbB51B1dD4C69Db65f,6,600
43,0xa43A262BE5258Cac9957C5eDcEdF82380605983A,4,600
44,0x43D5FAAa7aF4039419BCb273F109Ba325d4e1294,4,400
45,0x5BB0F19F1Ef6A83b475B9502a8B7488FF20A023F,4,400
46,0x34A46B9f50847301C8150F9d68D603fb3d2dc4C8,4,396
47,0xb7265621016b574B7B1D5EF9403fdc57044a8b9b,6,390
48,0xbF0826043F143478c923E0cAe01A8796017EAaD3,1,235
49,0xe83b1D302D4a477118f9fcC10362e4180102D666,4,200
50,0x670195691F1347aB9002786bE921B1dD1020C57B,2,200
51,0x50da31FbbC87699976c3DcCd0736cC45cCf37aF9,5,100
52,0x316E0B043989bDd0aF173ab0102207e32dF8EA21,4,60
53,0x05d54E819b6e4b5Cc1965EcDb4d295FbeEA0B82f,5,60
54,0x85Fd059F4b9c10B211c9c0643663Ce619a6C67b1,2,60
55,0x123cc96D55404281C3b90f78b0Dd20c7380D8682,2,60
56,0x64EeE71e6da3e895971D382789CcbE06Dd0FE9b6,12,48
57,0x8d95F60224E6561559b47352485D86D4F7047eCD,7,35
58,0xcef53EB668709e7E54B301e1194C3d4B91EEe02c,7,35
59,0x3B7BC940311dA65f59A2F2A80A184E29637de7eD,1,35
60,0x8d2f830DE312d89f41d7189C3b26E8754132bD9b,3,30
61,0xF9Cee322E84B005Cbfe456BD7f1C244DbAFC8b0a,5,25
62,0x21D4D8F76A90c605Da7C23E3Dfc4Af83d0168A97,4,20
63,0xaEB1Ead615334D20AA7217779b2657Ce25d36609,2,12
64,0xE99e5b460fF0d9c13b2FbB021bEa0D9AF4BED3d7,1,3
65,0x452b72fE1E4f86835236B8243500339f32374b7D,2,2
